Image_,Frequency_mean,Frequency_count,Left_mean,Left_count,Top_mean,Top_count,Spatial Spread_mean,Spatial Spread_count,Duration_mean,Duration_count,Area_mean,Area_count,Interval_mean,Interval_count
702830_original_S_41_T_6_C_41-13-21_ANO1KD_secretin500nM_area2 1st_STMapCell.jpg,12.0,23,14.347826086956522,23,446.82608695652175,23,78.3913043478261,23,17.565217391304348,23,1414.4347826086957,23,363.04347826086956,23
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_CNTRL1 AREA1_STMapCell.jpg,14.0,27,28.814814814814813,27,567.2962962962963,27,52.074074074074076,27,11.851851851851851,27,567.8148148148148,27,490.48148148148147,27
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_CNTRL2 AREA1_STMapCell.jpg,14.5,28,35.25,28,538.1071428571429,28,48.92857142857143,28,14.571428571428571,28,713.8214285714286,28,459.64285714285717,28
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_CNTRL2 AREA1_STMapCell1 copy.jpg,12.5,24,28.666666666666668,24,447.6666666666667,24,55.083333333333336,24,12.791666666666666,24,684.2916666666666,24,369.4166666666667,24
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_SECRETIN 500NM_4 AREA1_STMapCell.jpg,35.5,70,41.15714285714286,70,446.1,70,28.185714285714287,70,7.1,70,390.8857142857143,70,386.87142857142857,70
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_SECRETIN 500NM_5 AREA1_STMapCell.jpg,44.0,87,49.747126436781606,87,470.60919540229884,87,23.183908045977013,87,6.804597701149425,87,267.17241379310343,87,409.58620689655174,87
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_CNTRL1_A2_STMapCell.jpg,17.0,33,18.939393939393938,33,515.030303030303,33,67.63636363636364,33,13.06060606060606,33,788.6969696969697,33,437.72727272727275,33
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_CNTRL1_A2_STMapCell1 copy 3.jpg,26.0,51,32.294117647058826,51,406.29411764705884,51,46.19607843137255,51,11.019607843137255,51,611.1372549019608,51,344.98039215686276,51
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_CNTRL1_A2_STMapCell1 copy.jpg,43.0,85,38.35294117647059,85,538.3058823529411,85,28.976470588235294,85,6.247058823529412,85,276.56470588235294,85,475.3764705882353,85
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_secretin500nM3_A2_STMapCell1 copy 2.jpg,18.0,35,25.885714285714286,35,441.9142857142857,35,54.77142857142857,35,12.742857142857142,35,725.7714285714286,35,373.3142857142857,35
702830_original_S_41_T_6_C_43-10-21_GCaMPKI__nicardipine200nM_CNTRL1_A1_STMap.jpg,116.0,231,27.714285714285715,231,510.0692640692641,231,11.636363636363637,231,5.082251082251083,231,119.44155844155844,231,472.56277056277054,231
702830_original_S_41_T_6_C_43-10-21_GCaMPKI__nicardipine200nM_CNTRL1_A1_STMapCell.jpg,55.0,109,28.61467889908257,109,401.8073394495413,109,25.495412844036696,109,6.36697247706422,109,299.3394495412844,109,354.9449541284404,109
702830_original_S_41_T_6_C_44-16-21_GCaMPkitKI_40x_Ileum_nicardipine200nM_Cntrl_my_STMap.jpg,8.5,16,11.625,16,402.8125,16,78.25,16,19.25,16,1552.75,16,329.8125,16
702830_original_S_41_T_6_C_4_3-1-31_GCaMPKI_Duodenum_TTX1uM_secretin500nM3_A2_STMapCell.jpg,22.5,44,36.0,44,485.25,44,44.61363636363637,44,10.318181818181818,44,569.8409090909091,44,414.6363636363636,44
