Image,Frequency,Left,Top,Spatial Spread,Duration,Area,Interval
702830_original_S_41_T_6_C_41-13-21_ANO1KD_secretin500nM_area2 1st_STMapCell.jpg,1.0,0.0,25.0,105.0,23.0,1935.0,80.0
 ,2.0,0.0,82.0,105.0,19.0,1614.0,23.0
 ,3.0,0.0,137.0,105.0,24.0,1843.0,32.0
 ,4.0,98.0,158.0,7.0,2.0,10.0,53.0
 ,5.0,0.0,194.0,105.0,24.0,1872.0,89.0
 ,6.0,26.0,195.0,5.0,1.0,5.0,164.0
 ,7.0,35.0,197.0,1.0,1.0,1.0,161.0
 ,8.0,37.0,197.0,2.0,1.0,2.0,158.0
 ,9.0,0.0,252.0,105.0,22.0,1967.0,147.0
 ,10.0,0.0,308.0,105.0,29.0,2336.0,203.0
 ,11.0,0.0,363.0,105.0,25.0,2078.0,258.0
 ,12.0,0.0,422.0,105.0,20.0,1519.0,317.0
 ,13.0,0.0,477.0,105.0,23.0,1984.0,372.0
 ,14.0,0.0,531.0,105.0,24.0,1993.0,426.0
 ,15.0,0.0,586.0,105.0,25.0,1919.0,481.0
 ,16.0,79.0,608.0,1.0,1.0,1.0,528.0
 ,17.0,0.0,641.0,105.0,24.0,2025.0,536.0
 ,18.0,0.0,697.0,105.0,23.0,1739.0,592.0
 ,19.0,0.0,754.0,105.0,19.0,1559.0,649.0
 ,20.0,0.0,806.0,105.0,25.0,2141.0,701.0
 ,21.0,0.0,863.0,105.0,24.0,1905.0,758.0
 ,22.0,55.0,866.0,2.0,1.0,2.0,809.0
 ,23.0,0.0,918.0,105.0,24.0,2082.0,813.0
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_CNTRL1 AREA1_STMapCell.jpg,1.0,3.0,38.0,88.0,15.0,932.0,53.0
 ,2.0,1.0,103.0,104.0,24.0,1218.0,2.0
 ,3.0,0.0,175.0,105.0,16.0,1240.0,70.0
 ,4.0,0.0,242.0,105.0,19.0,1286.0,137.0
 ,5.0,0.0,308.0,105.0,20.0,1333.0,203.0
 ,6.0,0.0,371.0,105.0,16.0,1314.0,266.0
 ,7.0,0.0,433.0,105.0,17.0,1203.0,328.0
 ,8.0,54.0,489.0,1.0,1.0,1.0,434.0
 ,9.0,53.0,493.0,26.0,11.0,197.0,414.0
 ,10.0,91.0,501.0,14.0,8.0,85.0,396.0
 ,11.0,0.0,502.0,82.0,18.0,938.0,420.0
 ,12.0,46.0,571.0,41.0,12.0,348.0,484.0
 ,13.0,0.0,574.0,35.0,13.0,330.0,539.0
 ,14.0,94.0,574.0,6.0,1.0,6.0,474.0
 ,15.0,97.0,577.0,2.0,2.0,3.0,478.0
 ,16.0,50.0,629.0,34.0,13.0,289.0,545.0
 ,17.0,0.0,644.0,1.0,1.0,1.0,643.0
 ,18.0,3.0,644.0,6.0,1.0,6.0,635.0
 ,19.0,0.0,710.0,105.0,16.0,1062.0,605.0
 ,20.0,50.0,773.0,34.0,15.0,327.0,689.0
 ,21.0,0.0,780.0,86.0,25.0,897.0,694.0
 ,22.0,97.0,782.0,2.0,1.0,2.0,683.0
 ,23.0,41.0,800.0,2.0,2.0,3.0,757.0
 ,24.0,0.0,846.0,105.0,22.0,1208.0,741.0
 ,25.0,36.0,912.0,69.0,16.0,788.0,807.0
 ,26.0,0.0,916.0,29.0,12.0,292.0,887.0
 ,27.0,62.0,930.0,9.0,3.0,22.0,859.0
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_CNTRL2 AREA1_STMapCell.jpg,1.0,0.0,37.0,105.0,22.0,1805.0,68.0
 ,2.0,0.0,93.0,105.0,29.0,1931.0,12.0
 ,3.0,0.0,158.0,105.0,23.0,1638.0,53.0
 ,4.0,0.0,221.0,105.0,17.0,1415.0,116.0
 ,5.0,76.0,273.0,29.0,27.0,565.0,168.0
 ,6.0,0.0,274.0,69.0,26.0,977.0,205.0
 ,7.0,100.0,284.0,4.0,1.0,4.0,180.0
 ,8.0,4.0,339.0,44.0,15.0,338.0,291.0
 ,9.0,84.0,338.0,21.0,13.0,200.0,233.0
 ,10.0,83.0,403.0,22.0,15.0,245.0,298.0
 ,11.0,9.0,416.0,18.0,12.0,153.0,389.0
 ,12.0,14.0,496.0,4.0,1.0,4.0,478.0
 ,13.0,16.0,498.0,3.0,1.0,3.0,479.0
 ,14.0,83.0,501.0,22.0,22.0,283.0,396.0
 ,15.0,0.0,507.0,65.0,17.0,781.0,442.0
 ,16.0,0.0,566.0,62.0,25.0,1029.0,504.0
 ,17.0,81.0,566.0,24.0,16.0,287.0,461.0
 ,18.0,0.0,632.0,105.0,27.0,1826.0,527.0
 ,19.0,0.0,702.0,105.0,24.0,1984.0,597.0
 ,20.0,0.0,770.0,105.0,23.0,1833.0,665.0
 ,21.0,0.0,837.0,105.0,17.0,1245.0,732.0
 ,22.0,35.0,855.0,16.0,6.0,80.0,804.0
 ,23.0,71.0,855.0,11.0,4.0,21.0,773.0
 ,24.0,51.0,858.0,1.0,1.0,1.0,806.0
 ,25.0,91.0,881.0,1.0,1.0,1.0,789.0
 ,26.0,89.0,883.0,4.0,1.0,4.0,790.0
 ,27.0,0.0,904.0,105.0,21.0,1329.0,799.0
 ,28.0,100.0,920.0,5.0,1.0,5.0,815.0
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_CNTRL2 AREA1_STMapCell1 copy.jpg,1.0,0.0,39.0,105.0,17.0,1303.0,66.0
 ,2.0,0.0,102.0,92.0,15.0,1102.0,10.0
 ,3.0,99.0,106.0,1.0,1.0,1.0,6.0
 ,4.0,67.0,123.0,7.0,3.0,12.0,49.0
 ,5.0,0.0,160.0,102.0,16.0,1230.0,58.0
 ,6.0,104.0,162.0,1.0,3.0,3.0,57.0
 ,7.0,0.0,214.0,92.0,27.0,1410.0,122.0
 ,8.0,0.0,281.0,105.0,18.0,1161.0,176.0
 ,9.0,41.0,335.0,54.0,28.0,816.0,240.0
 ,10.0,15.0,350.0,7.0,1.0,7.0,328.0
 ,11.0,63.0,406.0,31.0,13.0,277.0,312.0
 ,12.0,61.0,416.0,5.0,2.0,7.0,350.0
 ,13.0,63.0,465.0,19.0,12.0,160.0,383.0
 ,14.0,13.0,505.0,86.0,16.0,834.0,406.0
